Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.2402 | Loop Time: 24.79 | Pressure: 2.31 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.80 | Pressure: 2.35 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.82 | Pressure: 2.36 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.84 | Pressure: 2.32 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.86 | Pressure: 2.34 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.88 | Pressure: 2.35 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.90 | Pressure: 2.42 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.92 | Pressure: 2.47 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.94 | Pressure: 2.48 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.96 | Pressure: 2.43 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 24.98 | Pressure: 2.47 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.00 | Pressure: 2.50 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.01 | Pressure: 2.55 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.03 | Pressure: 2.42 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.05 | Pressure: 2.51 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.07 | Pressure: 2.52 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.09 | Pressure: 2.47 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.11 | Pressure: 2.50 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.13 | Pressure: 2.54 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.15 | Pressure: 2.54 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.17 | Pressure: 2.66 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.19 | Pressure: 2.62 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.20 | Pressure: 2.61 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.22 | Pressure: 2.59 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.24 | Pressure: 2.61 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.26 | Pressure: 2.65 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.28 | Pressure: 2.64 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.30 | Pressure: 2.71 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.32 | Pressure: 2.79 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.34 | Pressure: 2.78 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.36 | Pressure: 2.75 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.38 | Pressure: 2.82 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.39 | Pressure: 2.90 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.41 | Pressure: 2.91 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.43 | Pressure: 2.89 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.45 | Pressure: 2.83 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.47 | Pressure: 2.90 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.49 | Pressure: 2.86 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.51 | Pressure: 2.91 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.53 | Pressure: 3.16 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.55 | Pressure: 3.12 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.57 | Pressure: 2.98 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.58 | Pressure: 3.11 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.60 | Pressure: 2.98 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.62 | Pressure: 3.02 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.64 | Pressure: 3.14 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.66 | Pressure: 4.68 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.68 | Pressure: 4.66 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.70 | Pressure: 3.12 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.72 | Pressure: 3.16 | Solenoid: PRESSURIZE
Loop Step: 0.2402 | Loop Time: 25.74 | Pressure: 3.18 | Solenoid: PRESSURIZE
