Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
6704
Loop Step: 0.0060 | Loop Time: 124.7740 | Pressure: -0.05418152
Loop Step: 0.0060 | Loop Time: 124.7800 | Pressure: -0.04679626
Loop Step: 0.0060 | Loop Time: 124.7860 | Pressure: -0.05076355
Loop Step: 0.0060 | Loop Time: 124.7920 | Pressure: -0.08396667
Loop Step: 0.0060 | Loop Time: 124.7980 | Pressure: -0.07261414
Loop Step: 0.0060 | Loop Time: 124.8040 | Pressure: -0.05845398
Loop Step: 0.0060 | Loop Time: 124.8100 | Pressure: -0.04935974
Loop Step: 0.0060 | Loop Time: 124.8160 | Pressure: -0.06882996
Loop Step: 0.0060 | Loop Time: 124.8220 | Pressure: -0.04783386
Loop Step: 0.0060 | Loop Time: 124.8280 | Pressure: -0.04661316
Loop Step: 0.0060 | Loop Time: 124.8340 | Pressure: -0.08775085
Loop Step: 0.0060 | Loop Time: 124.8400 | Pressure: -0.06821960
Loop Step: 0.0060 | Loop Time: 124.8460 | Pressure: -0.09830994
Loop Step: 0.0060 | Loop Time: 124.8520 | Pressure: 0.10109192
Loop Step: 0.0060 | Loop Time: 124.8580 | Pressure: -0.11875671
Loop Step: 0.0060 | Loop Time: 124.8640 | Pressure: -0.03031677
Loop Step: 0.0060 | Loop Time: 124.8700 | Pressure: -0.09660095
Loop Step: 0.0060 | Loop Time: 124.8760 | Pressure: -0.07114929
Loop Step: 0.0060 | Loop Time: 124.8820 | Pressure: -0.09324402
Loop Step: 0.0060 | Loop Time: 124.8880 | Pressure: -0.04252380
Loop Step: 0.0060 | Loop Time: 124.8940 | Pressure: -0.06651062
Loop Step: 0.0060 | Loop Time: 124.9000 | Pressure: -0.00486511
Loop Step: 0.0060 | Loop Time: 124.9060 | Pressure: -0.07853455
Loop Step: 0.0060 | Loop Time: 124.9120 | Pressure: -0.08933777
Loop Step: 0.0060 | Loop Time: 124.9180 | Pressure: -0.04252380
Loop Step: 0.0060 | Loop Time: 124.9240 | Pressure: -0.07816833
Loop Step: 0.0060 | Loop Time: 124.9300 | Pressure: -0.11192078
Loop Step: 0.0060 | Loop Time: 124.9360 | Pressure: -0.05668396
Loop Step: 0.0060 | Loop Time: 124.9420 | Pressure: -0.16978210
Loop Step: 0.0060 | Loop Time: 124.9480 | Pressure: -0.14957947
Loop Step: 0.0060 | Loop Time: 124.9540 | Pressure: -0.02903503
Loop Step: 0.0060 | Loop Time: 124.9600 | Pressure: -0.12717957
Loop Step: 0.0060 | Loop Time: 124.9660 | Pressure: -0.07163757
Loop Step: 0.0060 | Loop Time: 124.9720 | Pressure: -0.12766785
Loop Step: 0.0060 | Loop Time: 124.9780 | Pressure: -0.06413025
Loop Step: 0.0060 | Loop Time: 124.9840 | Pressure: -0.00071472
Loop Step: 0.0060 | Loop Time: 124.9900 | Pressure: -0.08750671
Loop Step: 0.0060 | Loop Time: 124.9960 | Pressure: -0.03910583
Loop Step: 0.0060 | Loop Time: 125.0020 | Pressure: -0.05167908
