Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 69.7890 | Pressure: 1.33857544
Loop Step: 0.0060 | Loop Time: 69.7950 | Pressure: 1.32221802
Loop Step: 0.0060 | Loop Time: 69.8010 | Pressure: 1.28645142
Loop Step: 0.0060 | Loop Time: 69.8070 | Pressure: 1.33735474
Loop Step: 0.0060 | Loop Time: 69.8130 | Pressure: 1.32758911
Loop Step: 0.0060 | Loop Time: 69.8190 | Pressure: 1.34339722
Loop Step: 0.0060 | Loop Time: 69.8250 | Pressure: 1.35035522
Loop Step: 0.0060 | Loop Time: 69.8310 | Pressure: 1.28303345
Loop Step: 0.0060 | Loop Time: 69.8370 | Pressure: 1.30482300
Loop Step: 0.0060 | Loop Time: 69.8430 | Pressure: 1.31403931
Loop Step: 0.0060 | Loop Time: 69.8490 | Pressure: 1.31477173
Loop Step: 0.0060 | Loop Time: 69.8550 | Pressure: 1.33833130
Loop Step: 0.0060 | Loop Time: 69.8610 | Pressure: 1.27119263
Loop Step: 0.0060 | Loop Time: 69.8670 | Pressure: 0.03394897
Loop Step: 0.0060 | Loop Time: 69.8730 | Pressure: 1.31672485
Loop Step: 0.0060 | Loop Time: 69.8790 | Pressure: 1.30445679
Loop Step: 0.0060 | Loop Time: 69.8850 | Pressure: 1.20527466
Loop Step: 0.0060 | Loop Time: 69.8910 | Pressure: 1.28614624
Loop Step: 0.0060 | Loop Time: 69.8970 | Pressure: 1.21485718
Loop Step: 0.0060 | Loop Time: 69.9030 | Pressure: 1.23835571
Loop Step: 0.0060 | Loop Time: 69.9090 | Pressure: 1.26301392
Loop Step: 0.0060 | Loop Time: 69.9150 | Pressure: 1.26698120
Loop Step: 0.0060 | Loop Time: 69.9210 | Pressure: 1.30073364
Loop Step: 0.0060 | Loop Time: 69.9270 | Pressure: 1.27509888
Loop Step: 0.0060 | Loop Time: 69.9330 | Pressure: 1.26643188
Loop Step: 0.0060 | Loop Time: 69.9390 | Pressure: 1.28901489
Loop Step: 0.0060 | Loop Time: 69.9450 | Pressure: 1.21778687
Loop Step: 0.0060 | Loop Time: 69.9510 | Pressure: 1.28016479
Loop Step: 0.0060 | Loop Time: 69.9570 | Pressure: 1.20777710
Loop Step: 0.0060 | Loop Time: 69.9630 | Pressure: 1.22602661
Loop Step: 0.0060 | Loop Time: 69.9690 | Pressure: -0.08226196
Loop Step: 0.0060 | Loop Time: 69.9750 | Pressure: 1.24159058
Loop Step: 0.0060 | Loop Time: 69.9810 | Pressure: 1.23884399
Loop Step: 0.0060 | Loop Time: 69.9870 | Pressure: 1.18226440
Loop Step: 0.0060 | Loop Time: 69.9930 | Pressure: 1.15644653
Loop Step: 0.0060 | Loop Time: 69.9990 | Pressure: 1.20380981
Loop Step: 0.0060 | Loop Time: 70.0050 | Pressure: 1.21040161
Loop Step: 0.0060 | Loop Time: 70.0110 | Pressure: 1.29621704
Loop Step: 0.0060 | Loop Time: 70.0170 | Pressure: 1.18372925
Loop Step: 0.0060 | Loop Time: 70.0230 | Pressure: 1.27967651
Loop Step: 0.0060 | Loop Time: 70.0290 | Pressure: 1.28022583
Loop Step: 0.0060 | Loop Time: 70.0350 | Pressure: 1.18543823
Loop Step: 0.0060 | Loop Time: 70.0410 | Pressure: 1.28376587
Loop Step: 0.0060 | Loop Time: 70.0470 | Pressure: 1.23664673
Loop Step: 0.0060 | Loop Time: 70.0530 | Pressure: 1.21931274
Loop Step: 0.0060 | Loop Time: 70.0590 | Pressure: 1.19605835
Loop Step: 0.0060 | Loop Time: 70.0650 | Pressure: 1.19459351
Loop Step: 0.0060 | Loop Time: 70.0710 | Pressure: 0.08198364
Loop Step: 0.0060 | Loop Time: 70.0770 | Pressure: 1.18208130
Loop Step: 0.0060 | Loop Time: 70.0830 | Pressure: 1.18104370
Loop Step: 0.0060 | Loop Time: 70.0890 | Pressure: 1.21632202
Loop Step: 0.0060 | Loop Time: 70.0950 | Pressure: 1.28254517
Loop Step: 0.0060 | Loop Time: 70.1010 | Pressure: 1.22248657
Loop Step: 0.0060 | Loop Time: 70.1070 | Pressure: 1.14796265
Loop Step: 0.0060 | Loop Time: 70.1130 | Pressure: 1.20289429
Loop Step: 0.0060 | Loop Time: 70.1190 | Pressure: 1.17451294
Loop Step: 0.0060 | Loop Time: 70.1250 | Pressure: 1.24995239
Loop Step: 0.0060 | Loop Time: 70.1310 | Pressure: 1.22675903
Loop Step: 0.0060 | Loop Time: 70.1370 | Pressure: 1.28596313
Loop Step: 0.0060 | Loop Time: 70.1430 | Pressure: 1.22688110
Loop Step: 0.0060 | Loop Time: 70.1490 | Pressure: 1.22138794
Loop Step: 0.0060 | Loop Time: 70.1550 | Pressure: 1.22578247
Loop Step: 0.0060 | Loop Time: 70.1610 | Pressure: 1.18153198
Loop Step: 0.0060 | Loop Time: 70.1670 | Pressure: 1.15626343
Loop Step: 0.0060 | Loop Time: 70.1730 | Pressure: 0.35481079
Loop Step: 0.0060 | Loop Time: 70.1790 | Pressure: 1.21320923
Loop Step: 0.0060 | Loop Time: 70.1850 | Pressure: 1.22675903
Loop Step: 0.0060 | Loop Time: 70.1910 | Pressure: 1.23786743
Loop Step: 0.0060 | Loop Time: 70.1970 | Pressure: 1.22004517
Loop Step: 0.0060 | Loop Time: 70.2030 | Pressure: 1.21656616
Loop Step: 0.0060 | Loop Time: 70.2090 | Pressure: 1.20741089
Loop Step: 0.0060 | Loop Time: 70.2150 | Pressure: 1.26521118
Loop Step: 0.0060 | Loop Time: 70.2210 | Pressure: 1.17384155
Loop Step: 0.0060 | Loop Time: 70.2270 | Pressure: 1.21882446
Loop Step: 0.0060 | Loop Time: 70.2330 | Pressure: 1.10883911
Loop Step: 0.0060 | Loop Time: 70.2390 | Pressure: 1.12684448
Loop Step: 0.0060 | Loop Time: 70.2450 | Pressure: 1.17310913
Loop Step: 0.0060 | Loop Time: 70.2510 | Pressure: 1.12885864
Loop Step: 0.0060 | Loop Time: 70.2570 | Pressure: 1.17176636
Loop Step: 0.0060 | Loop Time: 70.2630 | Pressure: 1.15199097
Loop Step: 0.0060 | Loop Time: 70.2690 | Pressure: 1.22175415
Loop Step: 0.0060 | Loop Time: 70.2750 | Pressure: -0.07017700
Loop Step: 0.0060 | Loop Time: 70.2810 | Pressure: 1.18458374
Loop Step: 0.0060 | Loop Time: 70.2870 | Pressure: 1.18977173
Loop Step: 0.0060 | Loop Time: 70.2930 | Pressure: 1.18324097
Loop Step: 0.0060 | Loop Time: 70.2990 | Pressure: 1.23377808
