Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.39 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.41 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.42 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.44 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.46 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.48 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.50 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.51 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.53 | Pressure: -0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.55 | Pressure: 0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.57 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.59 | Pressure: -0.02 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.60 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.62 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.64 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.66 | Pressure: -0.01 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.68 | Pressure: 0.07 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.69 | Pressure: 0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.71 | Pressure: -0.06 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.73 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.75 | Pressure: 0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.77 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.78 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.80 | Pressure: 0.04 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.82 | Pressure: -0.05 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 41.84 | Pressure: -0.07 | Solenoid: RELEASE
Button 1 click.
Starting pressurize!
Loop Step: 0.018 | Loop Time: 41.86 | Pressure: 0.03 | Solenoid: PRESSURIZE
Loop Step: 0.033 | Loop Time: 41.89 | Pressure: 0.03 | Solenoid: PRESSURIZE
