Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.018 | Loop Time: 35.77 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.79 | Pressure: 0.96 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.80 | Pressure: 0.97 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.82 | Pressure: 1.38 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.84 | Pressure: 1.07 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.86 | Pressure: 1.04 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.88 | Pressure: 1.03 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.89 | Pressure: 0.98 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.91 | Pressure: 1.06 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.93 | Pressure: 1.03 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.95 | Pressure: 1.09 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.97 | Pressure: 1.01 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 35.98 | Pressure: 1.04 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.00 | Pressure: 1.08 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.02 | Pressure: 1.05 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.04 | Pressure: 1.15 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.06 | Pressure: 1.12 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.07 | Pressure: 1.14 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.09 | Pressure: 1.16 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.11 | Pressure: 1.07 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.13 | Pressure: 1.71 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.15 | Pressure: 1.16 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.16 | Pressure: 1.11 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.18 | Pressure: 1.10 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.20 | Pressure: 1.13 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.22 | Pressure: 1.10 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.24 | Pressure: 1.08 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.25 | Pressure: 1.13 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.27 | Pressure: 1.13 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.29 | Pressure: 1.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.31 | Pressure: 1.20 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.33 | Pressure: 1.15 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.34 | Pressure: 1.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.36 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.38 | Pressure: 1.21 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.40 | Pressure: 1.23 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.42 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.43 | Pressure: 1.30 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.45 | Pressure: 1.26 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.47 | Pressure: 1.27 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.49 | Pressure: 1.26 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.51 | Pressure: 1.20 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.52 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.54 | Pressure: 1.60 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.56 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.58 | Pressure: 1.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.60 | Pressure: 1.28 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.61 | Pressure: 1.32 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.63 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.65 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.67 | Pressure: 1.21 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.69 | Pressure: 1.31 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.70 | Pressure: 1.30 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.72 | Pressure: 1.29 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.74 | Pressure: 1.46 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.76 | Pressure: 1.28 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.78 | Pressure: 1.34 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 36.79 | Pressure: 1.28 | Solenoid: PRESSURIZE
